Batch 590/1496, Batch Loss: 0.0089, Batch Accuracy: 1.0000
Batch 594/1496, Batch Loss: 0.7343, Batch Accuracy: 0.9000
Batch 595/1496, Batch Loss: 0.9243, Batch Accuracy: 0.8000
Batch 593/1496, Batch Loss: 0.0065, Batch Accuracy: 1.0000
Batch 596/1496, Batch Loss: 0.7170, Batch Accuracy: 0.9000
Batch 597/1496, Batch Loss: 0.3304, Batch Accuracy: 0.9000
Batch 599/1496, Batch Loss: 0.0036, Batch Accuracy: 1.0000
Batch 598/1496, Batch Loss: 0.8964, Batch Accuracy: 0.9000
Batch 600/1496, Batch Loss: 0.0026, Batch Accuracy: 1.0000
Batch 602/1496, Batch Loss: 0.0032, Batch Accuracy: 1.0000
Batch 601/1496, Batch Loss: 0.0018, Batch Accuracy: 1.0000
Batch 603/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 604/1496, Batch Loss: 0.0021, Batch Accuracy: 1.0000
Batch 606/1496, Batch Loss: 0.0005, Batch Accuracy: 1.0000
Batch 605/1496, Batch Loss: 0.0005, Batch Accuracy: 1.0000
Batch 607/1496, Batch Loss: 0.0016, Batch Accuracy: 1.0000
Batch 608/1496, Batch Loss: 0.0147, Batch Accuracy: 1.0000
Batch 609/1496, Batch Loss: 0.0006, Batch Accuracy: 1.0000
Batch 611/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 610/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 612/1496, Batch Loss: 0.1414, Batch Accuracy: 0.9000
Batch 613/1496, Batch Loss: 0.5830, Batch Accuracy: 0.9000
Batch 614/1496, Batch Loss: 0.0059, Batch Accuracy: 1.0000
Batch 615/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 616/1496, Batch Loss: 0.7251, Batch Accuracy: 0.9000
Batch 617/1496, Batch Loss: 0.2250, Batch Accuracy: 0.9000
Batch 618/1496, Batch Loss: 0.0024, Batch Accuracy: 1.0000
Batch 619/1496, Batch Loss: 0.8093, Batch Accuracy: 0.9000
Batch 620/1496, Batch Loss: 0.8470, Batch Accuracy: 0.9000
Batch 622/1496, Batch Loss: 0.3396, Batch Accuracy: 0.9000
Batch 621/1496, Batch Loss: 0.3867, Batch Accuracy: 0.9000
Batch 624/1496, Batch Loss: 0.6346, Batch Accuracy: 0.9000
Batch 623/1496, Batch Loss: 1.4287, Batch Accuracy: 0.8000
Batch 625/1496, Batch Loss: 0.1736, Batch Accuracy: 0.9000
